,id,title,budget,revenue,revenue,release_date,imdb_id,original_language
0,862,Toy Story,30000000,373554033.0,373554033.0,1995-10-30,tt0114709,en
1,8844,Jumanji,65000000,262797249.0,262797249.0,1995-12-15,tt0113497,en
2,15602,Grumpier Old Men,0,0.0,0.0,1995-12-22,tt0113228,en
3,31357,Waiting to Exhale,16000000,81452156.0,81452156.0,1995-12-22,tt0114885,en
4,11862,Father of the Bride Part II,0,76578911.0,76578911.0,1995-02-10,tt0113041,en
5,949,Heat,60000000,187436818.0,187436818.0,1995-12-15,tt0113277,en
6,11860,Sabrina,58000000,0.0,0.0,1995-12-15,tt0114319,en
7,45325,Tom and Huck,0,0.0,0.0,1995-12-22,tt0112302,en
8,9091,Sudden Death,35000000,64350171.0,64350171.0,1995-12-22,tt0114576,en
9,710,GoldenEye,58000000,352194034.0,352194034.0,1995-11-16,tt0113189,en
10,9087,The American President,62000000,107879496.0,107879496.0,1995-11-17,tt0112346,en
11,12110,Dracula: Dead and Loving It,0,0.0,0.0,1995-12-22,tt0112896,en
12,21032,Balto,0,11348324.0,11348324.0,1995-12-22,tt0112453,en
13,10858,Nixon,44000000,13681765.0,13681765.0,1995-12-22,tt0113987,en
14,1408,Cutthroat Island,98000000,10017322.0,10017322.0,1995-12-22,tt0112760,en
15,524,Casino,52000000,116112375.0,116112375.0,1995-11-22,tt0112641,en
16,4584,Sense and Sensibility,16500000,135000000.0,135000000.0,1995-12-13,tt0114388,en
17,5,Four Rooms,4000000,4300000.0,4300000.0,1995-12-09,tt0113101,en
18,9273,Ace Ventura: When Nature Calls,30000000,212385533.0,212385533.0,1995-11-10,tt0112281,en
19,11517,Money Train,60000000,35431113.0,35431113.0,1995-11-21,tt0113845,en
20,8012,Get Shorty,30250000,115101622.0,115101622.0,1995-10-20,tt0113161,en
21,1710,Copycat,0,0.0,0.0,1995-10-27,tt0112722,en
22,9691,Assassins,50000000,30303072.0,30303072.0,1995-10-06,tt0112401,en
23,12665,Powder,0,0.0,0.0,1995-10-27,tt0114168,en
24,451,Leaving Las Vegas,3600000,49800000.0,49800000.0,1995-10-27,tt0113627,en
25,16420,Othello,0,0.0,0.0,1995-12-15,tt0114057,en
26,9263,Now and Then,12000000,27400000.0,27400000.0,1995-10-20,tt0114011,en
27,17015,Persuasion,0,0.0,0.0,1995-09-27,tt0114117,en
28,902,The City of Lost Children,18000000,1738611.0,1738611.0,1995-05-16,tt0112682,fr
29,37557,Shanghai Triad,0,0.0,0.0,1995-04-30,tt0115012,zh
30,9909,Dangerous Minds,0,180000000.0,180000000.0,1995-08-11,tt0112792,en
31,63,Twelve Monkeys,29500000,168840000.0,168840000.0,1995-12-29,tt0114746,en
32,78802,Wings of Courage,0,0.0,0.0,1996-09-18,tt0114952,fr
33,9598,Babe,30000000,254134910.0,254134910.0,1995-07-18,tt0112431,en
34,47018,Carrington,0,0.0,0.0,1995-11-08,tt0112637,en
35,687,Dead Man Walking,11000000,39363635.0,39363635.0,1995-12-29,tt0112818,en
36,139405,Across the Sea of Time,0,0.0,0.0,1995-10-20,tt0112286,en
37,33689,It Takes Two,0,0.0,0.0,1995-11-17,tt0113442,en
38,9603,Clueless,12000000,0.0,0.0,1995-07-19,tt0112697,en
39,34615,"Cry, the Beloved Country",0,676525.0,676525.0,1995-12-15,tt0112749,en
40,31174,Richard III,0,0.0,0.0,1995-12-29,tt0114279,en
41,11443,Dead Presidents,10000000,0.0,0.0,1995-10-06,tt0112819,en
42,35196,Restoration,19000000,0.0,0.0,1995-12-29,tt0114272,en
43,9312,Mortal Kombat,18000000,122195920.0,122195920.0,1995-08-18,tt0113855,en
44,577,To Die For,20000000,21284514.0,21284514.0,1995-05-20,tt0114681,en
45,11861,How To Make An American Quilt,10000000,23574130.0,23574130.0,1995-10-06,tt0113347,en
46,807,Se7en,33000000,327311859.0,327311859.0,1995-09-22,tt0114369,en
47,10530,Pocahontas,55000000,346079773.0,346079773.0,1995-06-14,tt0114148,en
48,8391,When Night Is Falling,0,0.0,0.0,1995-05-05,tt0114916,en
49,629,The Usual Suspects,6000000,23341568.0,23341568.0,1995-07-19,tt0114814,en
50,117164,Guardian Angel,0,0.0,0.0,1994-11-22,tt0109950,en
51,11448,Mighty Aphrodite,15000000,6700000.0,6700000.0,1995-09-13,tt0113819,en
52,49133,Lamerica,0,0.0,0.0,1994-01-01,tt0110299,it
53,26441,The Big Green,0,0.0,0.0,1995-09-29,tt0112499,en
54,97406,Georgia,0,0.0,0.0,1995-05-19,tt0113158,en
55,124057,Kids of the Round Table,0,0.0,0.0,1997-07-08,tt0113541,en
56,9089,Home for the Holidays,0,17519169.0,17519169.0,1995-11-02,tt0113321,en
57,11010,The Postman,0,0.0,0.0,1994-09-22,tt0110877,it
